YZY350V2-RED,1,987,17,1119
YZY350-TRTLDV,2,2340,12,2340
ADINMD-HURED,3,1479,1,1120
YZY750-BROWN,4,3210,11,3210
ADINMD-HUYELLOW,5,1479,27,1839
YZY350V2-CPPR,6,987,19,855
AJ1-FRAG,7,1778,21,1817
AJ1-CHI13,8,1778,22,354
AJ1-BRED13,9,1778,8,413
AJ2-RRAHEEM,10,407,2,121
AJ2L-CHI16,11,100,22,100
AJ2-JSTDONBCH,12,407,27,734
AJ2-ALT87,13,407,8,125
AJ2-CMTINF,14,407,6,189
AJ2-JSTDON,15,407,16,867
AJ3-SPBLU,16,296,2,227
AJ3-PWBLU,17,296,10,215
AJ3-BCMT11,18,296,6,482
AJ3-INF23,19,296,25,260
AJ4-RYLTYGS,20,641,1,104
AJ4-ANVLZR,21,641,19,237
AJ5-MTSLV16,22,217,1,217
AJ6-INFRW14,23,226,22,226
AJ7-BCNNIT,24,191,1,191
FOAM1-ROYAL16,25,233,10,199
FOAM1-EGPLNT17,26,233,14,187
FOAM1-WUTANG,27,233,28,232
FOAMP-PURPLAT,28,266,16,212
FOAM1-OLY16,29,233,22,315
FOAMP-YEEZY,30,266,8,321
AM98-SUPBLK,31,371,1,371
AM97-SLVRBLLT16W,32,198,14,198
AJ4-KAWS,33,641,14,1350
VPRMX-CLOTCRMSN,34,421,17,421
AM1-RYL17,35,334,23,334
AJ8-DB,36,780,10,780
YEZZY2-RED,37,6039,17,6039
VANS95-FOG,38,824,20,824
HYADPT1-BLK,39,1338,1,1338
AJ1-RYL01,40,1778,2,4530
AJ4-LZRB,41,641,1,874
